album_id,title,artist_id,album_type,release_year,release_date,track_count,label,upc,spotify_id,musicbrainz_id,source_dataset
01OahkTPRCleDjobtRk7ST,Boston,artist:6aecdfe8-b004-d1e8-cb1e-42c4414687a9,album,1976,,3,,,01OahkTPRCleDjobtRk7ST,,tidy_tuesday_dbcl
01PhXmyyzAVc5bkcgS2cms,Yo Se Que Tu Quieres (feat. Ñengo Flow),artist:d50ccf79-efb2-6d54-641b-f6794ebf0c80,album,2012,,1,,,01PhXmyyzAVc5bkcgS2cms,,tidy_tuesday_dbcl
01QZJ5r1vcjiU9GgpGfLIX,Voices Carry,artist:da7def53-ed27-e053-cff2-85508847caae,album,1985,,1,,,01QZJ5r1vcjiU9GgpGfLIX,,tidy_tuesday_dbcl
01SDKB7wiuxAQJ51wPV8Aj,Stax Classics,artist:b3b13a2b-07ea-8113-8ee2-b37b9968caf1,album,2017,,1,,,01SDKB7wiuxAQJ51wPV8Aj,,tidy_tuesday_dbcl
01SkyAcTlSdHNE6Vm8z6tq,That's Just Me,artist:a83a74c2-f655-6fb1-549e-c46d6947b173,album,2019,,1,,,01SkyAcTlSdHNE6Vm8z6tq,,tidy_tuesday_dbcl
01U3A4v42WpUKLrLLG6IlQ,Face to Face,artist:af9571f3-7c6f-5f9a-7927-632010776ba0,album,2019,,1,,,01U3A4v42WpUKLrLLG6IlQ,,tidy_tuesday_dbcl
01aNLzRaKJogmxt3hDeII2,Underdog,artist:53e803d1-8476-c797-81a7-925f14af5b81,album,2020,,1,,,01aNLzRaKJogmxt3hDeII2,,tidy_tuesday_dbcl
01akT8TopYGRiYtyeN0qTU,Me Enamoré De Ti,artist:70526125-6134-e0ca-50f5-d4ccdd90aa9b,album,2016,,1,,,01akT8TopYGRiYtyeN0qTU,,tidy_tuesday_dbcl
01c1PLpIdfwy47yid7GqKB,Head To The Sky,artist:a91d7d06-0c21-65b5-e575-5b706ed9e143,album,1973,,1,,,01c1PLpIdfwy47yid7GqKB,,tidy_tuesday_dbcl
01cD5X3u8Iv4gWFHmrWYfK,Dome,artist:985ee75d-368d-2718-c09f-84048299f769,album,2016,,1,,,01cD5X3u8Iv4gWFHmrWYfK,,tidy_tuesday_dbcl
