album_id,title,artist_id,spotify_id
0215X8WQ3ZOnfbt5Djz9xG,Watch Me (featuring Bella Thorne and Zendaya),artist:015ce544-eda7-5911-fa67-fdbbeafcc7ca,0215X8WQ3ZOnfbt5Djz9xG
021zMZKO2pUA3yoUQFW2uy,These Days...,artist:ae4fc9bd-528c-315e-ad6c-0538b1b1c49b,021zMZKO2pUA3yoUQFW2uy
022DrG7Wp2PSCwzuD0bSzT,American Beauty/American Psycho,artist:e7c6c1f2-5dd7-986f-3166-0373e07d9a5a,022DrG7Wp2PSCwzuD0bSzT
022bcs9M1gbI4143EDXwRN,Hello Hello,artist:2f8e6f42-3b1a-812f-b5f4-521ece125f11,022bcs9M1gbI4143EDXwRN
023KmMyB2DNZR3V8YKoET9,Astronaut In The Ocean,artist:afb92e0a-9f73-4759-abc9-5e7a5e92b75a,023KmMyB2DNZR3V8YKoET9
024iTh1noiKGAlewjTSC5n,Colour Collection (International Version),artist:054b3d4e-8d7a-b15a-cb7a-cbafea85a5f3,024iTh1noiKGAlewjTSC5n
024mTxHsRmbydSnSlXkaZ8,Como el Agua,artist:4dd48ee3-45b0-a6c5-a4ba-b053c8803cb8,024mTxHsRmbydSnSlXkaZ8
025XBuNQPx0m9B9PjDst82,Outro (Que É Você),artist:01c8ab65-d935-5e43-2d8b-cba313b33fe5,025XBuNQPx0m9B9PjDst82
025njwSJ67gymZaZ7i3rHh,Lines of the Broken,artist:389f8a5c-a3a1-56b6-a7b6-75d20c30825d,025njwSJ67gymZaZ7i3rHh
026GOYnOrorVFNmigW0SD3,Mi Ex,artist:86e91f51-c01a-1c87-55ba-26159966f93c,026GOYnOrorVFNmigW0SD3
